"","YEAR","site_web_trans","site","web","transect","yrID","siteID"
"476",1999,"LATR_5_12","LATR","5","12",8,56
"477",1999,"LATR_5_132","LATR","5","132",8,57
"478",1999,"LATR_5_36","LATR","5","36",8,58
"479",1999,"LATR_5_60","LATR","5","60",8,59
"480",1999,"LATR_5_84","LATR","5","84",8,60
"481",2000,"BOER_1_108","BOER","1","108",9,1
"482",2000,"BOER_1_12","BOER","1","12",9,2
"483",2000,"BOER_1_132","BOER","1","132",9,3
"484",2000,"BOER_1_36","BOER","1","36",9,4
"485",2000,"BOER_1_60","BOER","1","60",9,5
"486",2000,"BOER_1_84","BOER","1","84",9,6
"487",2000,"BOER_2_108","BOER","2","108",9,7
"488",2000,"BOER_2_12","BOER","2","12",9,8
"489",2000,"BOER_2_132","BOER","2","132",9,9
"490",2000,"BOER_2_36","BOER","2","36",9,10
"491",2000,"BOER_2_60","BOER","2","60",9,11
"492",2000,"BOER_2_84","BOER","2","84",9,12
"493",2000,"BOER_3_108","BOER","3","108",9,13
"494",2000,"BOER_3_12","BOER","3","12",9,14
"495",2000,"BOER_3_132","BOER","3","132",9,15
"496",2000,"BOER_3_36","BOER","3","36",9,16
"497",2000,"BOER_3_60","BOER","3","60",9,17
"498",2000,"BOER_3_84","BOER","3","84",9,18
"499",2000,"BOER_4_108","BOER","4","108",9,19
"500",2000,"BOER_4_12","BOER","4","12",9,20
"501",2000,"BOER_4_132","BOER","4","132",9,21
"502",2000,"BOER_4_36","BOER","4","36",9,22
"503",2000,"BOER_4_60","BOER","4","60",9,23
"504",2000,"BOER_4_84","BOER","4","84",9,24
"505",2000,"BOER_5_108","BOER","5","108",9,25
"506",2000,"BOER_5_12","BOER","5","12",9,26
"507",2000,"BOER_5_132","BOER","5","132",9,27
"508",2000,"BOER_5_36","BOER","5","36",9,28
"509",2000,"BOER_5_60","BOER","5","60",9,29
"510",2000,"BOER_5_84","BOER","5","84",9,30
"511",2000,"LATR_1_108","LATR","1","108",9,31
